GNAI1,GNB1
GNAI1,GNAI3
GNAI1,GNG5
GNAI1,MAPK1
GNAI1,GNG10
GNAI1,ADCY5
GNAI1,MAPK3
GNAI1,GNG2
GNAI1,GNG7
GNAI1,MAPK14
GNAI1,GNG4
GNAI1,GNAI2
GNAI1,GNB4
GNAI1,GNGT1
GNAI1,GNG11
SHANK2,DLG4
SHANK2,DLGAP1
FYN,PIK3R3
FYN,PLD2
FYN,HRAS
FYN,PIK3CG
FYN,GRIN2A
FYN,PIK3CD
FYN,MAPK1
FYN,GRIN2B
FYN,PIK3CA
FYN,GRIN1
FYN,RAF1
FYN,PIK3R1
FYN,PIK3CB
HTR3A,HTR7
CALM2,ITPR3
CALM2,PPP3CA
CALM2,KCNQ1
CALM2,ITPR1
CALM2,CAMK2A
CALM2,CAMK2G
CALM2,PPP3CC
CALM2,CACNA1C
CALM2,CAMK2D
CALM2,PPP3CB
CALM2,GRIN1
CALM2,ADCY8
CALM2,CAMK2B
CALM2,CAMK4
CREB5,ATF2
DDC,MAOB
DDC,TH
DDC,TPH1
DDC,COMT
DDC,TPH2
GAD1,GLUL
GAD1,SLC32A1
GAD1,ABAT
SRC,PIK3CA
SRC,PIK3CD
SRC,AKT1
SRC,MAP2K1
SRC,MAPK1
SRC,NRAS
SRC,JAK2
SRC,PIK3CB
SRC,PIK3R1
SRC,PRKCA
SRC,HRAS
SRC,MAPK8
SRC,PIK3CG
PIK3CG,NRAS
PIK3CG,AKT3
PIK3CG,RAF1
PIK3CG,KRAS
PIK3CG,PIK3R3
PIK3CG,PIK3R1
PIK3CG,SRC
PIK3CG,GSK3B
PIK3CG,JAK2
PIK3CG,AKT2
PIK3CG,PIK3R5
PIK3CG,AKT1
PIK3CG,FYN
PIK3CG,GNB1
PIK3CG,GNG2
PIK3CG,HRAS
MAPK10,APP
MAPK10,FOS
MAPK10,ATF2
CACNA1A,CALM1
MAPK8,SRC
MAPK8,DUSP1
MAPK8,MAPK9
MAPK8,BCL2
MAPK8,ATF2
MAPK8,HRAS
MAPK8,FOS
MAPK8,APP
COMT,DDC
COMT,MAOA
COMT,MAOB
PTGS1,PLA2G4A
PTGS1,ALOX5
DRD2,GRK2
DRD2,SLC6A3
DRD2,GNB5
GRM3,ADCY8
GNG4,GRK2
GNG4,GNB5
GNG4,GNGT1
GNG4,PLCB2
GNG4,GNGT2
GNG4,GNG11
GNG4,GNB4
GNG4,GNAI2
GNG4,GNB1
GNG4,GNB3
GNG4,GNB2
GNG4,GNG13
GNG4,GNAI3
GNG4,GNAI1
GNG4,GNAO1
PLA2G4A,PLD2
PLA2G4A,ALOX12
PLA2G4A,PTGS2
PLA2G4A,PTGS1
PLA2G4A,MAPK1
PLA2G4A,MAPK14
PLA2G4A,ALOX5
PTGS2,MAPK3
PTGS2,ALOX15
PTGS2,MAPK1
PTGS2,PLA2G4A
PTGS2,MAPK14
PTGS2,FOS
PTGS2,ALOX5
NRAS,ARAF
NRAS,MAPK3
NRAS,SRC
NRAS,MAP2K1
NRAS,RAF1
NRAS,BRAF
NRAS,PIK3CG
NRAS,PIK3CD
NRAS,PIK3CA
NRAS,MAPK1
NRAS,PIK3CB
GNAI3,GNG3
GNAI3,GNGT1
GNAI3,MAPK1
GNAI3,PLCB4
GNAI3,GNAI1
GNAI3,GNG5
GNAI3,GNG7
GNAI3,GNB2
GNAI3,GNG4
GNAI3,GNG11
GNAI3,GNB3
GNAI3,MAPK3
GNAI3,GNAO1
GNAI3,GNB4
GNAI3,ADCY1
GNAI3,HRAS
GNAI3,GNG10
GNAI3,MAPK14
GNAI3,GNAI2
GNAI3,GNB1
GNAI3,GNG2
GNG5,GNB3
GNG5,GNB1
GNG5,GNB4
GNG5,GNAI3
GNG5,GNAI1
GNG5,GNAI2
GNG5,GNB5
GNG5,GNB2
PRKACB,GNB1
PRKACB,ADCY1
PRKACB,ADCY9
PRKACB,ADCY4
PRKACB,PRKACA
PRKACB,ADCY6
PRKACB,ADCY2
PRKACB,ADCY8
GNG12,GNB4
GNG12,GNB3
GNG12,GNG13
GNG12,GNA11
GNG12,GNB2
GNG12,GNB1
GNAS,GNGT1
GNAS,GNB1
GNAS,ADCY1
GNAS,ADCY9
GNAS,GNAQ
GNAS,GNG2
GNAS,ADCY5
CACNA1B,CALM1
GRIN1,GRIN2D
GRIN1,DLG4
GRIN1,FYN
GRIN1,CALM2
GRIN1,CAMK2A
GRIN1,GRIN2C
GRIN1,CAMK2G
GRIN1,GRIN2B
GRIN1,CAMK2B
